modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=19 SL=1.17055000 TP=1.18844000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=18 SL=1.17055000 TP=1.18884000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=17 SL=1.17055000 TP=1.18892000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=16 SL=1.17055000 TP=1.18857000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=15 SL=1.17055000 TP=1.18869000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=14 SL=1.17055000 TP=1.18845000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=13 SL=1.17055000 TP=1.18904000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=12 SL=1.17055000 TP=1.18892000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=11 SL=1.17055000 TP=1.18940000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=10 SL=1.17055000 TP=1.18928000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=8 SL=1.17055000 TP=1.18963000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=7 SL=1.17055000 TP=1.18976000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=6 SL=1.17055000 TP=1.18998000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=5 SL=1.17055000 TP=1.18979000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=4 SL=1.17055000 TP=1.18986000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=3 SL=1.17055000 TP=1.18973000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=2 SL=1.17055000 TP=1.19004000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=1 SL=1.17055000 TP=1.18998000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=63 SL=1.19055000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=63 SL=1.19055000 TP=1.17055000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=64 SL=1.19040000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=64 SL=1.19040000 TP=1.17040000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=9 SL=1.17099000 TP=1.18951000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=65 SL=1.19099000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=65 SL=1.19099000 TP=1.17099000
order | Expert_Trader @ EURUSD,30 | Order sent: Sell EURUSD Magic #123603
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=66 SL=1.19084000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=66 SL=1.19084000 TP=1.17084000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=35 SL=1.17143000 TP=1.18857000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=25 SL=1.17143000 TP=1.18831000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=24 SL=1.17143000 TP=1.18843000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=23 SL=1.17143000 TP=1.18806000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=22 SL=1.17143000 TP=1.18818000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=21 SL=1.17143000 TP=1.18794000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=20 SL=1.17143000 TP=1.18843000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=19 SL=1.17143000 TP=1.18844000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=18 SL=1.17143000 TP=1.18884000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=17 SL=1.17143000 TP=1.18892000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=16 SL=1.17143000 TP=1.18857000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=15 SL=1.17143000 TP=1.18869000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=14 SL=1.17143000 TP=1.18845000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=13 SL=1.17143000 TP=1.18904000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=12 SL=1.17143000 TP=1.18892000
modify | Expert_Trader @ EURUSD,30 | Order modified: ticket=11 SL=1.17143000 TP=1.18940000
